N	β	B	Ω	E/N	M/N
3.0	1.0	3.0	0.0	-3.0354645410095284	1.0177044392397268e-16
3.0	1.0	3.0	1.0	-3.2895249262908983	-0.05717110186580416
3.0	1.0	3.0	2.0	-3.8830274809846936	-0.12339895021561638
3.0	1.0	3.0	3.0	-4.635024376614049	-0.17772647618298612
3.0	1.5	0.0	0.0	-0.6034321690965777	0.0
3.0	1.5	0.0	1.0	-1.6590943223255084	-0.3298826155854673
3.0	1.5	0.0	2.0	-2.666154611555695	-0.33316472339350245
3.0	1.5	0.0	3.0	-3.6666328709957265	-0.33332493721981865
3.0	1.5	1.0	0.0	-1.0782062446136969	9.251858538542972e-17
3.0	1.5	1.0	1.0	-1.8779036392446804	-0.2471285223194155
3.0	1.5	1.0	2.0	-2.8169465172485695	-0.2902052146579161
3.0	1.5	1.0	3.0	-3.782218200199363	-0.30742119511617283
3.0	1.5	2.0	0.0	-2.065418620971218	1.0177044392397268e-16
3.0	1.5	2.0	1.0	-2.4783549078497358	-0.12191437611977211
3.0	1.5	2.0	2.0	-3.2449245362662342	-0.2008468941423224
3.0	1.5	2.0	3.0	-4.116431991696183	-0.2455399263226652
3.0	1.5	3.0	0.0	-3.053914963560904	2.0354088784794536e-16
3.0	1.5	3.0	1.0	-3.299647933987418	-0.057171942290882544
3.0	1.5	3.0	2.0	-3.8856354229031123	-0.12352036534301768
3.0	1.5	3.0	3.0	-4.635558945092021	-0.1777709325336944
3.0	2.0	0.0	0.0	-0.6426850533838779	0.0
3.0	2.0	0.0	1.0	-1.6657233020845155	-0.332878174161709
3.0	2.0	0.0	2.0	-2.6666417759891923	-0.33332506610413454
3.0	2.0	0.0	3.0	-3.6666660596021714	-0.3333331819123655
3.0	2.0	1.0	0.0	-1.1153248933442044	1.1102230246251565e-16
3.0	2.0	1.0	1.0	-1.8838001542160283	-0.2486954545065607
3.0	2.0	1.0	2.0	-2.8173293265086716	-0.2903048791295037
3.0	2.0	1.0	3.0	-3.7822443662079532	-0.30742692569890323
3.0	2.0	2.0	0.0	-2.079063943596575	1.295260195396016e-16
3.0	2.0	2.0	1.0	-2.4811241110353834	-0.12206179153888462
3.0	2.0	2.0	2.0	-3.2451131402130726	-0.20087108086010871
3.0	2.0	2.0	3.0	-4.116445157819176	-0.24554190053853978
3.0	2.0	3.0	0.0	-3.055400123140185	9.251858538542972e-17
3.0	2.0	3.0	1.0	-3.3001687178327224	-0.057164452720095404
3.0	2.0	3.0	2.0	-3.885690055683894	-0.12352228645579343
3.0	2.0	3.0	3.0	-4.6355633346102865	-0.1777712777859082
3.0	2.5	0.0	0.0	-0.6577428654342868	0.0
3.0	2.5	0.0	1.0	-1.6665431588381996	-0.3332723978315112
3.0	2.5	0.0	2.0	-2.6666654374683945	-0.3333329240896591
3.0	2.5	0.0	3.0	-3.6666666556275485	-0.3333333305758699
3.0	2.5	1.0	0.0	-1.1339496932334607	9.251858538542972e-17
3.0	2.5	1.0	1.0	-1.8845203488328226	-0.2488870363359554
3.0	2.5	1.0	2.0	-2.8173460218535737	-0.2903092692064536
3.0	2.5	1.0	3.0	-3.782244793762796	-0.30742701981443427
3.0	2.5	2.0	0.0	-2.082226149665117	2.220446049250313e-16
3.0	2.5	2.0	1.0	-2.481407027884795	-0.12207323344596736
3.0	2.5	2.0	2.0	-3.2451194552028597	-0.20087186444443272
3.0	2.5	2.0	3.0	-4.116445323361227	-0.24554192533325128
3.0	2.5	3.0	0.0	-3.055531654733276	2.7755575615628914e-17
3.0	2.5	3.0	1.0	-3.3001979360381775	-0.05716376783155099
3.0	2.5	3.0	2.0	-3.885691267980812	-0.12352231811762432
3.0	2.5	3.0	3.0	-4.6355633720523235	-0.17777128058441202
3.0	3.0	0.0	0.0	-0.6633698357911536	0.0
3.0	3.0	0.0	1.0	-1.6666501603637256	-0.33332512084497506
3.0	3.0	0.0	2.0	-2.6666666056454535	-0.3333333130015266
3.0	3.0	0.0	3.0	-3.666666666465014	-0.33333333328293585
3.0	3.0	1.0	0.0	-1.1449494178907609	-1.850371707708594e-17
3.0	3.0	1.0	1.0	-1.8846116267877708	-0.24891109484361074
3.0	3.0	1.0	2.0	-2.8173467635060265	-0.2903094649534226
3.0	3.0	1.0	3.0	-3.7822448008480904	-0.3074270213772661
3.0	3.0	2.0	0.0	-2.082998107131458	8.326672684688674e-17
3.0	3.0	2.0	1.0	-2.481437358523682	-0.12207418850749795
3.0	3.0	2.0	2.0	-3.245119671606749	-0.2008718904589338
3.0	3.0	2.0	3.0	-4.116445325477634	-0.24554192564934632
3.0	3.0	3.0	0.0	-3.0555438558016257	2.1279274638648835e-16
3.0	3.0	3.0	1.0	-3.3001996544893593	-0.05716371841219636
3.0	3.0	3.0	2.0	-3.885691295858901	-0.1235223186506838
3.0	3.0	3.0	3.0	-4.635563372378828	-0.17777128060769717
3.0	3.5	0.0	0.0	-0.6654519317407991	0.0
3.0	3.5	0.0	1.0	-1.6666644431925615	-0.33333222361921533
3.0	3.5	0.0	2.0	-2.6666666636317946	-0.33333333232186435
3.0	3.5	0.0	3.0	-3.6666666666629766	-0.33333333333241094
3.0	3.5	1.0	0.0	-1.151910718920778	-3.3306690738754696e-16
3.0	3.5	1.0	1.0	-1.8846234338745855	-0.24891416923000198
3.0	3.5	1.0	2.0	-2.8173467967162806	-0.29030947373037586
3.0	3.5	1.0	3.0	-3.7822448009661884	-0.30742702140333616
3.0	3.5	2.0	0.0	-2.0831913033545915	1.1102230246251565e-16
3.0	3.5	2.0	1.0	-2.481440706035293	-0.12207427360455064
3.0	3.5	2.0	2.0	-3.245119679126958	-0.20087189133610653
3.0	3.5	2.0	3.0	-4.116445325504917	-0.24554192565340724
3.0	3.5	3.0	0.0	-3.0555450118928564	1.942890293094024e-16
3.0	3.5	3.0	1.0	-3.3001997581273272	-0.057163715117757176
3.0	3.5	3.0	2.0	-3.885691296514953	-0.12352231865972017
3.0	3.5	3.0	3.0	-4.6355633723817125	-0.17777128060789393
3.0	4.0	0.0	0.0	-0.666219533159378	0.0
3.0	4.0	0.0	1.0	-1.6666663662708905	-0.3333331832361324
3.0	4.0	0.0	2.0	-2.6666666665156273	-0.3333333332829897
3.0	4.0	0.0	3.0	-3.666666666666599	-0.33333333333331644
3.0	4.0	1.0	0.0	-1.156412094510771	3.700743415417188e-17
3.0	4.0	1.0	1.0	-1.8846249801393675	-0.24891456669006126
3.0	4.0	1.0	2.0	-2.8173467982087583	-0.29030947412492697
3.0	4.0	1.0	3.0	-3.782244800968162	-0.3074270214037719
3.0	4.0	2.0	0.0	-2.0832402220177713	1.1102230246251565e-16
3.0	4.0	2.0	1.0	-2.4814410821534594	-0.12207428164878044
3.0	4.0	2.0	2.0	-3.245119679390697	-0.20087189136600223
3.0	4.0	2.0	3.0	-4.11644532550527	-0.2455419256534587
3.0	4.0	3.0	0.0	-3.0555451225101797	8.326672684688674e-17
3.0	4.0	3.0	1.0	-3.300199764462423	-0.05716371490558573
3.0	4.0	3.0	2.0	-3.8856912965306356	-0.12352231865987136
3.0	4.0	3.0	3.0	-4.635563372381738	-0.17777128060789602
3.0	4.5	0.0	0.0	-0.6665021405653516	0.0
3.0	4.5	0.0	1.0	-1.6666666260383518	-0.3333333130241883
3.0	4.5	0.0	2.0	-2.666666666659148	-0.33333333333082715
3.0	4.5	0.0	3.0	-3.6666666666666656	-0.333333333333333
3.0	4.5	1.0	0.0	-1.159333542236326	1.1102230246251565e-16
3.0	4.5	1.0	1.0	-1.8846251843241246	-0.24891461850620236
3.0	4.5	1.0	2.0	-2.817346798275942	-0.29030947414268415
3.0	4.5	1.0	3.0	-3.782244800968194	-0.30742702140377887
3.0	4.5	2.0	0.0	-2.0832526762877848	8.326672684688674e-17
3.0	4.5	2.0	1.0	-2.4814411248886645	-0.12207428244960798
3.0	4.5	2.0	2.0	-3.245119679400007	-0.20087189136702924
3.0	4.5	2.0	3.0	-4.116445325505275	-0.24554192565346034
3.0	4.5	3.0	0.0	-3.055545133142323	1.1102230246251565e-16
3.0	4.5	3.0	1.0	-3.3001997648525165	-0.05716371489214986
3.0	4.5	3.0	2.0	-3.8856912965310144	-0.12352231865987447
3.0	4.5	3.0	3.0	-4.635563372381739	-0.17777128060789593
3.0	5.0	0.0	0.0	-0.6666061361750634	0.0
3.0	5.0	0.0	1.0	-1.6666666611695085	-0.33333333058500375
3.0	5.0	0.0	2.0	-2.666666666666292	-0.3333333333332085
3.0	5.0	0.0	3.0	-3.6666666666666665	-0.3333333333333333
3.0	5.0	1.0	0.0	-1.1612263065128154	5.551115123125783e-17
3.0	5.0	1.0	1.0	-1.8846252114508344	-0.2489146253055585
3.0	5.0	1.0	2.0	-2.8173467982789684	-0.29030947414348396
3.0	5.0	1.0	3.0	-3.7822448009681953	-0.30742702140377925
3.0	5.0	2.0	0.0	-2.0832558551109055	2.220446049250313e-16
3.0	5.0	2.0	1.0	-2.4814411297788417	-0.12207428253281687
3.0	5.0	2.0	2.0	-3.245119679400337	-0.20087189136706482
3.0	5.0	2.0	3.0	-4.116445325505275	-0.24554192565346025
3.0	5.0	3.0	0.0	-3.0555451341664175	4.625929269271486e-17
3.0	5.0	3.0	1.0	-3.300199764876634	-0.05716371489130621
3.0	5.0	3.0	2.0	-3.8856912965310233	-0.12352231865987388
3.0	5.0	3.0	3.0	-4.635563372381739	-0.17777128060789585
4.0	0.5	0.0	0.0	-0.3465878679450073	0.053388066758518135
4.0	0.5	0.0	1.0	-1.233785410356151	0.11767646090690259
4.0	0.5	0.0	2.0	-2.5015917242820285	0.19017899867864355
4.0	0.5	0.0	3.0	-3.6381227130719833	0.22614796985556063
4.0	0.5	1.0	0.0	-0.7227366085157808	0.04073417850918998
4.0	0.5	1.0	1.0	-1.4858449205066235	0.09530984883411019
4.0	0.5	1.0	2.0	-2.6619666474698405	0.1658700625251846
4.0	0.5	1.0	3.0	-3.756095375703811	0.20636684630578023
4.0	0.5	2.0	0.0	-1.6527673261407585	0.020893616947301075
4.0	0.5	2.0	1.0	-2.1680124107199754	0.05474894736085674
4.0	0.5	2.0	2.0	-3.1178408839258767	0.11373184169579534
4.0	0.5	2.0	3.0	-4.097266061897667	0.15934259037664078
4.0	0.5	3.0	0.0	-2.7779915998314864	0.009598851370522073
4.0	0.5	3.0	1.0	-3.095069925967483	0.026770663541641156
4.0	0.5	3.0	2.0	-3.798124215478802	0.06679369063667723
4.0	0.5	3.0	3.0	-4.626455373280187	0.10867492658537857
4.0	1.0	0.0	0.0	-0.5711956169668236	0.14500641459649352
4.0	1.0	0.0	1.0	-1.6972413753300777	0.2298024145279502
4.0	1.0	0.0	2.0	-2.7409966719328875	0.24720089450987925
4.0	1.0	0.0	3.0	-3.7484254702680126	0.2496194257271771
4.0	1.0	1.0	0.0	-1.0166840683074345	0.07266507420470673
4.0	1.0	1.0	1.0	-1.907862225728211	0.1660975117531079
4.0	1.0	1.0	2.0	-2.8862458340567136	0.20922741238054668
4.0	1.0	1.0	3.0	-3.8601874457229193	0.2257647923113076
4.0	1.0	2.0	0.0	-2.0102922156698386	0.019706740417287927
4.0	1.0	2.0	1.0	-2.4956033698779403	0.0731900134070134
4.0	1.0	2.0	2.0	-3.300686174257889	0.13324110292248575
4.0	1.0	2.0	3.0	-4.184362172303574	0.1704431370080944
4.0	1.0	3.0	0.0	-3.0418410489838417	0.0074713606737499445
4.0	1.0	3.0	1.0	-3.313169195318012	0.028735344066515955
4.0	1.0	3.0	2.0	-3.9264200916155256	0.07233985427119066
4.0	1.0	3.0	3.0	-4.690625051137769	0.11324548534844794
4.0	1.5	0.0	0.0	-0.6788611902336499	0.20482334026908788
4.0	1.5	0.0	1.0	-1.7442689594763114	0.24740561315656626
4.0	1.5	0.0	2.0	-2.7496036647276965	0.24987047883112223
4.0	1.5	0.0	3.0	-3.749973888348165	0.2499935499684451
4.0	1.5	1.0	0.0	-1.1097100731684149	0.07819658065952342
4.0	1.5	1.0	1.0	-1.950021145167381	0.1755485549382674
4.0	1.5	1.0	2.0	-2.893775090026942	0.21103178538233497
4.0	1.5	1.0	3.0	-3.8615365068083545	0.22604622831603655
4.0	1.5	2.0	0.0	-2.0752125431003847	0.017240791891902266
4.0	1.5	2.0	1.0	-2.5215529935055585	0.07443980433824515
4.0	1.5	2.0	2.0	-3.3055998899406918	0.1338052927069884
4.0	1.5	2.0	3.0	-4.185256243880917	0.17056498297274333
4.0	1.5	3.0	0.0	-3.06084932130688	0.007083145319433954
4.0	1.5	3.0	1.0	-3.322795830785847	0.028685257067689207
4.0	1.5	3.0	2.0	-3.928701976276789	0.07241947355733651
4.0	1.5	3.0	3.0	-4.69107757289927	0.11327686284181422
4.0	2.0	0.0	0.0	-0.7230206850568623	0.23233729378670887
4.0	2.0	0.0	1.0	-1.749291556635108	0.24965851626103522
4.0	2.0	0.0	2.0	-2.7499811069166307	0.24999374333008695
4.0	2.0	0.0	3.0	-3.749999539548695	0.2499998854036979
4.0	2.0	1.0	0.0	-1.1438732514120735	0.07658479711426586
4.0	2.0	1.0	1.0	-1.9544044384725296	0.1766175060485386
4.0	2.0	1.0	2.0	-2.8940724798276665	0.21110627261498535
4.0	2.0	1.0	3.0	-3.8615568053606784	0.22605055888362297
4.0	2.0	2.0	0.0	-2.08941000424529	0.01637808597349355
4.0	2.0	2.0	1.0	-2.52380773724399	0.074518919633547
4.0	2.0	2.0	2.0	-3.3057472410463267	0.13382201624753065
4.0	2.0	2.0	3.0	-4.185266541353073	0.17056640455517608
4.0	2.0	3.0	0.0	-3.062468928781146	0.007037668984414644
4.0	2.0	3.0	1.0	-3.323283117559487	0.028677388801254464
4.0	2.0	3.0	2.0	-3.9287469294055954	0.07242067177342715
4.0	2.0	3.0	3.0	-4.691081074470669	0.11327709578851593
4.0	2.5	0.0	0.0	-0.7399607236135729	0.2433519433292099
4.0	2.5	0.0	1.0	-1.7499073525028404	0.2499542962991621
4.0	2.5	0.0	2.0	-2.7499990739789846	0.24999969203671493
4.0	2.5	0.0	3.0	-3.7499999916859417	0.24999999792495844
4.0	2.5	1.0	0.0	-1.1599019006045368	0.0738973483022327
4.0	2.5	1.0	1.0	-1.9549045729068317	0.17674299825286716
4.0	2.5	1.0	2.0	-2.8940851250085675	0.21110949029467208
4.0	2.5	1.0	3.0	-3.861557130166125	0.22605062880568583
4.0	2.5	2.0	0.0	-2.0929214087959336	0.016117751905491317
4.0	2.5	2.0	1.0	-2.5240200061376363	0.07452409732431947
4.0	2.5	2.0	2.0	-3.3057519236059987	0.13382254071064145
4.0	2.5	2.0	3.0	-4.1852666669252105	0.1705664220019014
4.0	2.5	3.0	0.0	-3.0626228754883167	0.0070326726816710775
4.0	2.5	3.0	1.0	-3.3233101530504	0.028676748572179625
4.0	2.5	3.0	2.0	-3.9287478701296163	0.07242069073687044
